COMPONENT_ID,COMPONENT_NAME,TimeStamp,PERFORMANCE_HEALTH,CONDITION_HEALTH,PERFORMANCE_DIFF_DAY,PERFORMANCE_DIFF_WEEK,PERFORMANCE_DIFF_MONTH,CONDITION_DIFF_DAY,CONDITION_DIFF_WEEK,CONDITION_DIFF_MONTH
1,AIR SYSTEM,2023-12-10 23:00:00+07:00,,100.0,,,,0.0,0.0,0.0
2,COMPRESSOR,2023-12-10 23:00:00+07:00,,99.92,,,,0.01,0.2,0.22
3,FUEL SYSTEM,2023-12-10 23:00:00+07:00,,100.0,,,,0.0,0.0,0.03
4,GAS TURBINE,2023-12-10 23:00:00+07:00,87.86,93.13,-1.92,-2.21,-0.95,-0.48,-1.8,-1.72
5,GG LUBE OIL,2023-12-10 23:00:00+07:00,,100.0,,,,0.0,0.03,0.02
6,MAIN LUBE OIL,2023-12-10 23:00:00+07:00,,100.0,,,,0.24,0.1,0.09
7,POWER TURBINE ,2023-12-10 23:00:00+07:00,,100.0,,,,0.0,0.04,0.04
8,SEAL SYSTEM,2023-12-10 23:00:00+07:00,,100.0,,,,0.0,0.0,0.0
