MACHINE_ID,MACHINE_TAG,MACHINE_NAME,TimeStamp,PERFORMANCE_HEALTH,CONDITION_HEALTH,CRITICAL_STATUS,PERFORMANCE_DIFF_DAY,PERFORMANCE_DIFF_WEEK,PERFORMANCE_DIFF_MONTH,CONDITION_DIFF_DAY,CONDITION_DIFF_WEEK,CONDITION_DIFF_MONTH
1,GEN_DF_01,Dual Fuel Generator A,,50.62,66.6,TRUE,-46.99,-48.47,-45.97,-8.7,-12.09,-12.6
2,GEN_DF_02,Dual Fuel Generator B,,100,98.28,FALSE,0,0.3,4.71,0.47,0.21,0.5
3,PMP_WI_01,Produce Water Injection Pump A,,100,98.92,FALSE,0,0,0,-0.03,-0.11,0.65
4,PMP_WI_02,Produce Water Injection Pump B,,53.68,38.67,TRUE,0,0,0,0,0,0
5,PMP_WI_03,Produce Water Injection Pump C,,100,100,FALSE,0,0.36,0.33,0,0.51,0.56
6,SYS_WP_01,Water process,,66.67,100,FALSE,14,-1.5,10.89,0,0.01,0.01
