MODEL_ID,MODEL_NAME,MODEL_TYPE,MODEL_CLASS,COMPONENT_ID,TimeStamp,HEALTH,HEALTH_DIFF_DAY,HEALTH_DIFF_WEEK,HEALTH_DIFF_MONTH,RESIDUAL_DIFF_DAY,RESIDUAL_DIFF_WEEK,RESIDUAL_DIFF_MONTH
1,DRIVE_VOLT( Average Line -Netural AC Voltage),CONDITION,MACHINE_LEARNING,1,,100,0,0,1.39,3.65,3.05,8.44
2,DE_VIB(Motor vibration DE),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
3,NDE_VIB(Motor vibration NDE),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
4,OIL_PRESS(Oil pressure),CONDITION,INDIVIDUAL,2,,100,0,0,0,,,
5,XDTC_TEMP VS. XDTC_VIB,CONDITION,CLASSIFICATION,2,,95.9,0.08,-0.31,-0.24,,,
6,Speed (Frequency x 60),PERFORMANCE,MACHINE_LEARNING,2,,100,0,0,0,-19.72,17.88,54.76
7,Pump s Head (Dis Press - Suc. Press)(Pump head C),PERFORMANCE,INDIVIDUAL,2,,100,0,0,0,,,
